,train,val,lr
279,-7.157328582252376e-06,-6.7895744e-06,[0.0009980805796264332]
280,-7.1265216320171024e-06,-6.480341e-06,[0.000998066804571587]
281,-7.279282363015227e-06,-6.7954957e-06,[0.0009980529803595179]
282,-7.183053730841493e-06,-6.8299173e-06,[0.0009980391069915903]
283,-7.182358922364074e-06,-5.761476e-06,[0.0009980251844691735]
284,-6.877244140923722e-06,-6.963259e-06,[0.0009980112127936417]
285,-6.949240014364477e-06,-6.9874745e-06,[0.0009979971919663736]
286,-7.071356685628416e-06,-7.139427e-06,[0.0009979831219887531]
287,-7.178470650615054e-06,-6.286381e-06,[0.000997969002862169]
288,-6.916224219821743e-06,-7.130772e-06,[0.0009979548345880147]
289,-6.94573004693666e-06,-5.284099e-06,[0.0009979406171676884]
290,-6.983861567277927e-06,-7.045997e-06,[0.0009979263506025935]
291,-7.146913594624493e-06,-7.1153327e-06,[0.000997912034894138]
292,-7.306867064471589e-06,-7.031557e-06,[0.0009978976700437349]
293,-7.1143077548185826e-06,-7.3876945e-06,[0.0009978832560528018]
294,-7.0921150836511515e-06,-6.928125e-06,[0.0009978687929227611]
295,-7.120456712073065e-06,-7.709755e-06,[0.0009978542806550407]
296,-7.235107295855414e-06,-6.9357066e-06,[0.0009978397192510727]
297,-7.191158420027932e-06,-6.803754e-06,[0.0009978251087122943]
298,-7.258529149112292e-06,-7.5833927e-06,[0.0009978104490401475]
299,-7.079068882376305e-06,-7.048845e-06,[0.0009977957402360791]
300,-7.294713032024447e-06,-7.474803e-06,[0.0009977809823015409]
301,-7.1557396950083785e-06,-6.9146317e-06,[0.0009977661752379892]
302,-7.127117123673088e-06,-7.1278755e-06,[0.0009977513190468858]
303,-7.2976850788109e-06,-7.1450627e-06,[0.0009977364137296965]
304,-7.1408558142138645e-06,-6.987798e-06,[0.0009977214592878925]
305,-7.164049884522683e-06,-7.2489916e-06,[0.00099770645572295]
306,-7.213247272375156e-06,-7.119029e-06,[0.0009976914030363493]
307,-7.087669291649945e-06,-7.353966e-06,[0.000997676301229577]
308,-7.315134917007527e-06,-7.5431003e-06,[0.0009976611503041226]
309,-7.256352455442539e-06,-7.301022e-06,[0.000997645950261482]
310,-7.028746176729328e-06,-7.059436e-06,[0.0009976307011031551]
311,-7.162042766140075e-06,-6.8699537e-06,[0.000997615402830647]
312,-7.284349794645095e-06,-7.0683836e-06,[0.0009976000554454676]
313,-7.343282504734816e-06,-6.9887933e-06,[0.0009975846589491317]
314,-6.993877150307526e-06,-7.450968e-06,[0.0009975692133431587]
315,-7.24224887562741e-06,-6.915836e-06,[0.0009975537186290731]
316,-7.20965840628196e-06,-7.4391087e-06,[0.0009975381748084042]
317,-7.342750268435338e-06,-7.4343634e-06,[0.0009975225818826862]
318,-7.219840108518838e-06,-7.1581094e-06,[0.000997506939853458]
319,-7.332616951316595e-06,-7.0318906e-06,[0.0009974912487222634]
320,-7.315984930755803e-06,-7.0309784e-06,[0.0009974755084906511]
321,-7.311742001547827e-06,-6.904529e-06,[0.0009974597191601744]
322,-7.37624413886806e-06,-7.3510414e-06,[0.0009974438807323917]
323,-7.269468460435746e-06,-6.984365e-06,[0.0009974279932088662]
324,-7.300465676962631e-06,-6.7261517e-06,[0.0009974120565911663]
325,-6.940954472156591e-06,-6.184973e-06,[0.0009973960708808643]
326,-6.97103555467038e-06,-6.764574e-06,[0.0009973800360795382]
327,-7.083807895469363e-06,-6.8491368e-06,[0.0009973639521887706]
328,-7.150905094022164e-06,-6.8961917e-06,[0.000997347819210149]
329,-7.016614199528704e-06,-7.551485e-06,[0.0009973316371452655]
330,-7.2930514306790425e-06,-7.309712e-06,[0.0009973154059957172]
331,-7.408205601677764e-06,-7.2472058e-06,[0.0009972991257631062]
332,-7.367936677837861e-06,-6.8117124e-06,[0.000997282796449039]
333,-7.097310890458175e-06,-6.9111748e-06,[0.0009972664180551277]
334,-7.19600011507282e-06,-7.3303268e-06,[0.0009972499905829884]
335,-7.3214413077948844e-06,-7.513701e-06,[0.0009972335140342424]
336,-7.189698362708441e-06,-7.0935175e-06,[0.0009972169884105164]
337,-7.1906901666807245e-06,-7.2917906e-06,[0.0009972004137134406]
338,-7.377529254881665e-06,-7.3261303e-06,[0.0009971837899446516]
339,-7.2746673140500205e-06,-7.3319316e-06,[0.0009971671171057897]
340,-7.338961131608812e-06,-7.0028423e-06,[0.0009971503951985005]
341,-7.326809736696305e-06,-7.3365986e-06,[0.0009971336242244344]
342,-7.244413427542895e-06,-7.0098963e-06,[0.0009971168041852468]
343,-7.227023297673441e-06,-7.365052e-06,[0.0009970999350825975]
344,-7.3163042543455955e-06,-7.4281033e-06,[0.0009970830169181515]
345,-7.471653452739701e-06,-7.278262e-06,[0.0009970660496935787]
346,-7.297602542166714e-06,-7.678649e-06,[0.0009970490334105535]
347,-7.217555094030104e-06,-7.360217e-06,[0.0009970319680707553]
348,-7.106357998054591e-06,-7.53796e-06,[0.0009970148536758688]
349,-7.369562172243604e-06,-7.134167e-06,[0.0009969976902275827]
350,-7.313794867513934e-06,-7.5276043e-06,[0.0009969804777275912]
351,-7.473157211279613e-06,-7.3394326e-06,[0.0009969632161775928]
352,-7.379020325970487e-06,-7.251629e-06,[0.0009969459055792914]
353,-7.050848307699198e-06,-7.0032415e-06,[0.0009969285459343954]
354,-7.031377435851027e-06,-6.661695e-06,[0.0009969111372446183]
