,train,val,lr
243,-5.562386422752752e-06,-5.340624e-06,[0.000998543731779562]
244,-5.641075040330179e-06,-5.2978885e-06,[0.000998531727252488]
245,-5.513844871529727e-06,-4.7125804e-06,[0.000998519673522305]
246,-5.516927330972976e-06,-5.4363495e-06,[0.0009985075705902027]
247,-5.591760100287502e-06,-5.6729896e-06,[0.0009984954184573758]
248,-5.623335573545773e-06,-5.9064882e-06,[0.0009984832171250234]
249,-5.685873838956468e-06,-5.4079815e-06,[0.00099847096659435]
250,-5.588608973994269e-06,-5.771305e-06,[0.0009984586668665646]
251,-5.678513343809755e-06,-5.3660483e-06,[0.000998446317942881]
252,-5.550623200178961e-06,-3.883193e-06,[0.000998433919824518]
253,-5.526131144506508e-06,-5.0589947e-06,[0.0009984214725126993]
254,-5.646311819873517e-06,-5.210782e-06,[0.0009984089760086536]
255,-5.640650579152862e-06,-5.5018195e-06,[0.0009983964303136139]
256,-5.611932056126534e-06,-5.59894e-06,[0.0009983838354288186]
257,-5.625617313853582e-06,-4.8694474e-06,[0.0009983711913555107]
258,-5.682462824552204e-06,-5.6824406e-06,[0.0009983584980949383]
259,-5.586584848060738e-06,-5.2797154e-06,[0.0009983457556483539]
260,-5.623778179142391e-06,-5.4353864e-06,[0.0009983329640170153]
261,-5.614236761175561e-06,-5.191629e-06,[0.000998320123202185]
262,-5.683659901478677e-06,-5.4495586e-06,[0.0009983072332051303]
263,-5.723037475036108e-06,-5.441282e-06,[0.0009982942940271234]
264,-5.63279859306931e-06,-4.713328e-06,[0.0009982813056694415]
265,-5.574865144808427e-06,-4.9882833e-06,[0.0009982682681333663]
266,-5.551163894779165e-06,-5.3311096e-06,[0.0009982551814201844]
267,-5.714438020731904e-06,-5.825801e-06,[0.0009982420455311876]
268,-5.725145547330612e-06,-5.5586693e-06,[0.0009982288604676725]
269,-5.6504572057747285e-06,-5.0702893e-06,[0.0009982156262309401]
270,-5.748989588028053e-06,-4.614256e-06,[0.0009982023428222967]
271,-5.644343309541e-06,-5.173209e-06,[0.0009981890102430536]
272,-5.563819695453276e-06,-5.6721196e-06,[0.0009981756284945262]
273,-5.6121833495126335e-06,-5.1817187e-06,[0.0009981621975780355]
274,-5.714119470212608e-06,-5.316421e-06,[0.000998148717494907]
275,-5.773056273028487e-06,-5.9584536e-06,[0.0009981351882464712]
276,-5.7548852964828255e-06,-5.4449947e-06,[0.0009981216098340633]
277,-5.513711766980123e-06,-5.5749792e-06,[0.0009981079822590235]
278,-5.6545667575846895e-06,-5.2232153e-06,[0.000998094305522697]
279,-5.574207489189576e-06,-5.4385637e-06,[0.0009980805796264332]
280,-5.7130857840093086e-06,-5.433408e-06,[0.000998066804571587]
281,-5.748131161453784e-06,-5.106573e-06,[0.0009980529803595179]
282,-5.655405675497604e-06,-5.052598e-06,[0.0009980391069915903]
283,-5.671651479133288e-06,-4.8955103e-06,[0.0009980251844691735]
284,-5.7527110584487675e-06,-5.5020364e-06,[0.0009980112127936417]
285,-5.5657918437646e-06,-5.422653e-06,[0.0009979971919663736]
286,-5.623947436106391e-06,-5.8915653e-06,[0.0009979831219887531]
287,-5.551528693104046e-06,-5.372944e-06,[0.000997969002862169]
288,-5.538809500649222e-06,-5.2277182e-06,[0.0009979548345880147]
289,-5.714130747946911e-06,-5.4809584e-06,[0.0009979406171676884]
290,-5.690981470252154e-06,-5.267423e-06,[0.0009979263506025935]
291,-5.637469803332351e-06,-5.3864997e-06,[0.000997912034894138]
292,-5.654350434269872e-06,-5.6803947e-06,[0.0009978976700437349]
293,-5.660094984705211e-06,-4.8586385e-06,[0.0009978832560528018]
294,-5.724085440306226e-06,-4.855517e-06,[0.0009978687929227611]
295,-5.708291246264707e-06,-5.6919866e-06,[0.0009978542806550407]
296,-5.600968506769277e-06,-5.684202e-06,[0.0009978397192510727]
297,-5.639612572849728e-06,-4.8707357e-06,[0.0009978251087122943]
298,-5.70495312786079e-06,-4.210973e-06,[0.0009978104490401475]
299,-5.608471246887347e-06,-5.178939e-06,[0.0009977957402360791]
300,-5.554649851546855e-06,-4.904644e-06,[0.0009977809823015409]
301,-5.5979475291678685e-06,-5.1375796e-06,[0.0009977661752379892]
302,-5.472967404784867e-06,-5.2809164e-06,[0.0009977513190468858]
303,-5.557297890845803e-06,-5.522363e-06,[0.0009977364137296965]
304,-5.6972149195644304e-06,-5.3842236e-06,[0.0009977214592878925]
305,-5.597735071205534e-06,-4.6848913e-06,[0.00099770645572295]
306,-5.618606974167051e-06,-5.520226e-06,[0.0009976914030363493]
307,-5.539841095014708e-06,-4.572572e-06,[0.000997676301229577]
308,-5.649753711622907e-06,-4.982687e-06,[0.0009976611503041226]
309,-5.8059757975570395e-06,-5.4356706e-06,[0.000997645950261482]
310,-5.583316351476242e-06,-5.8968317e-06,[0.0009976307011031551]
311,-5.699552229998517e-06,-5.042057e-06,[0.000997615402830647]
312,-5.77575056013302e-06,-4.3914674e-06,[0.0009976000554454676]
313,-5.73761999476119e-06,-5.6863346e-06,[0.0009975846589491317]
314,-5.6471947118552634e-06,-4.75594e-06,[0.0009975692133431587]
315,-5.5656245876889445e-06,-4.499613e-06,[0.0009975537186290731]
316,-5.626278380077565e-06,-5.5000514e-06,[0.0009975381748084042]
317,-5.737838091590675e-06,-5.435104e-06,[0.0009975225818826862]
318,-5.6770245009829525e-06,-5.3090057e-06,[0.000997506939853458]
319,-5.688906594514265e-06,-5.479469e-06,[0.0009974912487222634]
320,-5.726900826630299e-06,-5.713855e-06,[0.0009974755084906511]
321,-5.677309263774077e-06,-5.336678e-06,[0.0009974597191601744]
322,-5.609157597064041e-06,-5.711717e-06,[0.0009974438807323917]
323,-5.672957377100829e-06,-5.4957573e-06,[0.0009974279932088662]
324,-5.7239021771238185e-06,-5.531438e-06,[0.0009974120565911663]
325,-5.771739870397141e-06,-4.9868886e-06,[0.0009973960708808643]
326,-5.638189577439334e-06,-5.348547e-06,[0.0009973800360795382]
327,-5.580980314334738e-06,-5.477939e-06,[0.0009973639521887706]
328,-5.6545627103332665e-06,-5.5877304e-06,[0.000997347819210149]
329,-5.721668185287854e-06,-4.617313e-06,[0.0009973316371452655]
330,-5.676865202985937e-06,-5.6700096e-06,[0.0009973154059957172]
331,-5.839514278704882e-06,-5.7285047e-06,[0.0009972991257631062]
332,-5.758506267738994e-06,-5.4946026e-06,[0.000997282796449039]
333,-5.782002108389861e-06,-4.817308e-06,[0.0009972664180551277]
334,-5.636103105643997e-06,-4.631149e-06,[0.0009972499905829884]
335,-5.597241943178232e-06,-5.2250243e-06,[0.0009972335140342424]
336,-5.755317306466168e-06,-5.557789e-06,[0.0009972169884105164]
337,-5.657321253238479e-06,-5.744188e-06,[0.0009972004137134406]
338,-5.614580231849686e-06,-5.7369557e-06,[0.0009971837899446516]
339,-5.65570849175856e-06,-5.847381e-06,[0.0009971671171057897]
340,-5.675368402080494e-06,-4.3544596e-06,[0.0009971503951985005]
341,-5.648232126986841e-06,-4.957855e-06,[0.0009971336242244344]
342,-5.661219574903953e-06,-5.2649066e-06,[0.0009971168041852468]
343,-5.581623145189951e-06,-5.9101985e-06,[0.0009970999350825975]
344,-5.612444920188864e-06,-4.955411e-06,[0.0009970830169181515]
345,-5.6987822517839956e-06,-5.9736108e-06,[0.0009970660496935787]
346,-5.620981255560764e-06,-5.556925e-06,[0.0009970490334105535]
