,train,val,lr
199,-2.685137133084936e-06,-2.633768e-06,[0.0009995657893009954]
200,-2.722019758039096e-06,-2.5664408e-06,[0.0009995614150494314]
201,-2.6071599222632357e-06,-2.7759174e-06,[0.0009995570188846517]
202,-2.6612883630150463e-06,-2.6137502e-06,[0.000999552600806849]
203,-2.7178751452083818e-06,-2.3451978e-06,[0.0009995481608162174]
204,-2.6615909519023264e-06,-2.6315927e-06,[0.0009995436989129515]
205,-2.7003560944649506e-06,-2.7120593e-06,[0.0009995392150972471]
206,-2.6471065439181983e-06,-2.5391369e-06,[0.0009995347093693008]
207,-2.6313420676160605e-06,-2.5574636e-06,[0.0009995301817293104]
208,-2.677102611414739e-06,-2.3917119e-06,[0.0009995256321774742]
209,-2.6824197675523465e-06,-2.5865636e-06,[0.000999521060713992]
210,-2.6615917477101904e-06,-2.6068967e-06,[0.0009995164673390644]
211,-2.6586533749650696e-06,-2.5887748e-06,[0.0009995118520528927]
212,-2.7109891334475835e-06,-2.5928734e-06,[0.0009995072148556794]
213,-2.635954410834529e-06,-2.839031e-06,[0.000999502555747628]
214,-2.7292767981634826e-06,-2.7806736e-06,[0.0009994978747289427]
215,-2.7297453470964683e-06,-2.4926724e-06,[0.000999493171799829]
216,-2.6780804319059827e-06,-2.5840293e-06,[0.0009994884469604931]
217,-2.6331171284255105e-06,-2.5617155e-06,[0.0009994837002111423]
218,-2.662515407791943e-06,-2.6470404e-06,[0.0009994789315519847]
219,-2.6944130468109507e-06,-2.6891735e-06,[0.0009994741409832296]
220,-2.747443340922473e-06,-2.5458544e-06,[0.0009994693285050873]
221,-2.649201837812143e-06,-2.4666585e-06,[0.0009994644941177684]
222,-2.6971965098709914e-06,-2.6317555e-06,[0.0009994596378214856]
223,-2.7297293627270845e-06,-2.616661e-06,[0.0009994547596164514]
224,-2.642069398461899e-06,-2.5145582e-06,[0.0009994498595028802]
225,-2.694958766369382e-06,-2.4714002e-06,[0.0009994449374809867]
226,-2.7337927576809305e-06,-2.6904206e-06,[0.0009994399935509865]
227,-2.7292175673210297e-06,-2.7956407e-06,[0.000999435027713097]
228,-2.7016381181965698e-06,-2.594944e-06,[0.0009994300399675357]
229,-2.6729711407824653e-06,-2.5171971e-06,[0.0009994250303145217]
